,GO_ID,Term,Annotated,Significant,Expected,Rank in KS,classic,KS
1,GO:0042110,T cell activation,14,5,0.65,519,0.00012,1
2,GO:0098609,cell-cell adhesion,17,5,0.79,504,0.00036,0.99
3,GO:1903037,regulation of leukocyte cell-cell adhesi...,10,4,0.46,520,0.00046,1
4,GO:0007159,leukocyte cell-cell adhesion,11,4,0.51,521,0.0007,1
5,GO:0045785,positive regulation of cell adhesion,11,4,0.51,439,0.0007,0.89
6,GO:0050863,regulation of T cell activation,11,4,0.51,514,0.0007,1
7,GO:0002696,positive regulation of leukocyte activat...,12,4,0.55,522,0.00103,1
8,GO:0022407,regulation of cell-cell adhesion,12,4,0.55,457,0.00103,0.92
9,GO:0050867,positive regulation of cell activation,12,4,0.55,523,0.00103,1
10,GO:0051251,positive regulation of lymphocyte activa...,12,4,0.55,524,0.00103,1
11,GO:0046649,lymphocyte activation,21,5,0.97,525,0.00108,1
12,GO:0050776,regulation of immune response,24,5,1.11,497,0.00211,0.99
13,GO:0007155,cell adhesion,26,5,1.2,385,0.00311,0.74
14,GO:0022610,biological adhesion,26,5,1.2,386,0.00311,0.74
15,GO:0051249,regulation of lymphocyte activation,17,4,0.79,526,0.00438,1
16,GO:0030155,regulation of cell adhesion,18,4,0.83,458,0.00549,0.92
17,GO:0002694,regulation of leukocyte activation,19,4,0.88,527,0.00678,1
18,GO:0050865,regulation of cell activation,19,4,0.88,528,0.00678,1
19,GO:0032944,regulation of mononuclear cell prolifera...,11,3,0.51,529,0.00997,1
20,GO:0050670,regulation of lymphocyte proliferation,11,3,0.51,530,0.00997,1
21,GO:0070663,regulation of leukocyte proliferation,12,3,0.55,531,0.01294,1
22,GO:0002682,regulation of immune system process,37,5,1.71,518,0.01593,1
23,GO:0032943,mononuclear cell proliferation,14,3,0.65,532,0.02032,1
24,GO:0046651,lymphocyte proliferation,14,3,0.65,533,0.02032,1
25,GO:0002684,positive regulation of immune system pro...,26,4,1.2,505,0.0219,0.99
26,GO:0070661,leukocyte proliferation,15,3,0.69,534,0.02474,1
27,GO:0006955,immune response,57,6,2.63,517,0.025,1
28,GO:0050896,response to stimulus,144,10,6.66,357,0.02963,0.65
29,GO:0002250,adaptive immune response,16,3,0.74,535,0.02966,1
30,GO:0050778,positive regulation of immune response,16,3,0.74,536,0.02966,1
