id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
13756,CCL13,-1.585158075,4.493817121,-2.758943013,0.009507684,0.090640758,-2.914244503
13773,DCSTAMP,-1.0011507720000001,6.219867357999999,-2.7738665989999998,0.009164273,0.089369757,-2.91439322
13780,PTGDS,-1.289934813,1.825840269,-2.778631378,0.009057094,0.089188973,-2.610201684
13789,FFAR4,-1.015795096,0.46571306799999995,-2.78577553,0.008898586,0.088831688,-2.5446843059999997
13801,LAG3,-1.445705188,1.97545517,-2.7945864539999996,0.008706669,0.088257943,-2.58791622
13811,HLA-DPB2,-1.151796377,-1.154924867,-2.803266493,0.008521395,0.087421339,-2.565704201
13814,ZBED2,-1.8824222659999998,2.132016292,-2.806874567,0.008445473,0.08709800000000001,-2.57461021
13822,TIFAB,-1.0236342920000001,4.603334447,-2.8135914439999996,0.008305818000000001,0.08670978900000001,-2.7998964139999996
13831,LGALS17A,-1.889697823,-0.47672645399999997,-2.8246626139999997,0.008080341999999999,0.085680459,-2.488610908
13844,C1R,-1.564754815,2.457888115,-2.8389582210000004,0.007797676999999999,0.084710058,-2.5352985930000003
13845,GALNT12,-1.165284896,2.092185021,-2.8405999310000003,0.007765816,0.084491375,-2.499532245
13846,ZBED6CL,-1.071758775,1.948865576,-2.8406617510000003,0.007764619,0.084491375,-2.488465525
13851,IL2RB,-1.10232598,5.3915979720000005,-2.850429857,0.007577585,0.083750094,-2.746851939
13901,FAM26F,-2.036641732,4.3927372160000004,-2.9047301739999996,0.006612689000000001,0.079379821,-2.580596295
13905,FAM81A,-1.275633024,0.779237686,-2.906446323,0.006584166,0.079365916,-2.304726027
13910,VAMP5,-1.454952578,4.635688341,-2.910734773,0.0065133940000000005,0.07911082900000001,-2.582589782
13913,AC009950.1,-3.18550375,-0.849426479,-2.915602329,0.0064339340000000005,0.078877295,-2.3409385730000003
13915,HAPLN3,-1.184147718,4.844798353,-2.918730072,0.0063833580000000004,0.078524574,-2.575134659
13938,XCL1,-1.082102221,-0.24552848600000002,-2.964608184,0.005683250999999999,0.074832929,-2.210898265
13939,SERPING1,-1.506010265,6.785184697999999,-2.964816472,0.005680244,0.074832929,-2.46503061
13949,UNC5A,-1.088146348,2.53015743,-2.9754838589999997,0.005528256,0.074078633,-2.242751065
13969,SH2D2A,-1.04184934,2.579047039,-3.000513409,0.005186585,0.07281383599999999,-2.191324753
13971,AC234582.1,-1.307730342,-0.929894488,-3.0026837239999997,0.005157919,0.07281383599999999,-2.185563858
13972,KIF26B,-1.3060123590000001,-1.225766412,-3.0027119589999995,0.005157547,0.07281383599999999,-2.212636374
13980,PSMB9,-1.049738466,5.7266742,-3.00964886,0.00506693,0.07281383599999999,-2.383730889
13990,CDHR1,-1.3479581219999999,-0.544479267,-3.017249146,0.004969378,0.07281383599999999,-2.127405482
13994,SYNC,-1.1487293170000001,0.983906325,-3.022440459,0.0049037709999999995,0.07281383599999999,-2.065438178
13997,RORC,-1.130650733,-0.08433642300000001,-3.0259871589999996,0.004859421,0.07281383599999999,-2.082210866
14004,LRRC61,-1.220522182,1.227040296,-3.03144594,0.004791902,0.07274200900000001,-2.049130315
14007,FSD1,-1.1496472340000001,-1.231518638,-3.035791836,0.004738785,0.072708625,-2.152748449
14012,C1QB,-1.6093468969999998,7.563990442000001,-3.047121513,0.00460292,0.07160916,-2.242396554
14016,COL8A2,-1.155082384,4.836579625,-3.0531008739999996,0.004532712,0.071263962,-2.2638159840000003
14020,IL18RAP,-1.0614924209999999,2.234064623,-3.0603402689999997,0.004449069,0.070695701,-2.030027675
