id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
80,SESN2,1.428640357,6.220598073,13.66261917,1.59e-11,7.46e-10,16.42570484
81,CROCCP3,3.378102293,1.70244856,13.66042477,1.6e-11,7.46e-10,16.48572625
82,MET,2.3488303619999997,6.474999947000001,13.59136071,1.75e-11,7.99e-10,16.32311728
83,APCDD1L,1.85119373,5.0861488360000005,13.56399764,1.81e-11,8.22e-10,16.3468954
84,AGPAT1,1.135268494,6.412509792000001,13.47447402,2.04e-11,9.05e-10,16.16545272
85,MRTO4,1.777487639,4.468697574,13.37475906,2.33e-11,9.88e-10,16.13610899
86,FCHO2,1.173561243,5.9531943389999995,13.367474800000002,2.35e-11,9.91e-10,16.03438974
87,PTPRR,5.5352768139999995,-0.69393503,13.29585448,2.59e-11,1.0800000000000002e-09,14.30355007
88,PODXL,3.967005559,6.307805002,13.23330455,2.82e-11,1.16e-09,15.83649246
89,ITPRIP,1.3333105509999998,6.523480085,13.22757649,2.8399999999999997e-11,1.16e-09,15.82385555
90,ERN1,1.4775537580000002,4.773309117,13.21300882,2.89e-11,1.18e-09,15.88971486
91,TOX2,1.420671408,4.387643359,13.21074662,2.8999999999999997e-11,1.18e-09,15.9183072
92,AEN,1.030999962,6.186521399,13.20521839,2.93e-11,1.18e-09,15.80129966
93,CDCP1,2.99217125,3.698765481,13.18425528,3.01e-11,1.2e-09,15.94315732
94,TRIM35,1.353213566,5.562407583,13.11656788,3.3e-11,1.29e-09,15.70648273
96,AKR1B1,1.081194912,7.188193867000001,13.10218561,3.36e-11,1.31e-09,15.64511605
97,MGME1,1.334632934,4.826596498,13.07541686,3.4900000000000004e-11,1.3400000000000001e-09,15.69489707
98,ARHGAP33,2.096919006,2.538425966,13.00944982,3.820000000000001e-11,1.45e-09,15.76364174
99,PREPL,1.072692387,6.4993359,12.96910703,4.03e-11,1.5e-09,15.46317617
100,C4ORF32,1.293776518,4.77676489,12.90170614,4.43e-11,1.61e-09,15.45570089
101,ADI1,1.2282396690000001,6.826443352999999,12.88972921,4.5e-11,1.62e-09,15.34725513
103,FAM177A1,1.183252038,5.700959273,12.79989016,5.09e-11,1.79e-09,15.25379338
104,TSPYL2,2.1705749030000003,3.8951035289999996,12.79137228,5.15e-11,1.79e-09,15.37965397
106,TMEM132B,3.637265212,3.964413579,12.72303525,5.670000000000001e-11,1.94e-09,15.27651922
107,TDRD7,1.4435464130000002,4.176806611,12.72151333,5.6799999999999994e-11,1.94e-09,15.25395361
109,TM2D1,1.023075567,4.805204093,12.68834119,5.95e-11,2e-09,15.15105997
110,FAM73A,1.314887305,5.696445185,12.67475564,6.06e-11,2.0300000000000002e-09,15.07544125
111,ANAPC16,1.083729445,4.993844256,12.67190217,6.09e-11,2.04e-09,15.11302169
112,MAP3K7CL,1.9247459580000001,5.784239799,12.66178852,6.17e-11,2.0600000000000003e-09,15.05234494
113,ANKRD13C,1.025817242,5.347698416,12.65043848,6.27e-11,2.0800000000000003e-09,15.05949967
114,TP53I3,1.3965740290000002,5.7895951729999995,12.64576797,6.310000000000001e-11,2.09e-09,15.02908293
115,FAS,1.187750504,6.332720033999999,12.64409341,6.329999999999999e-11,2.09e-09,15.00444666
116,SCN8A,1.174486556,5.5352472829999995,12.61038909,6.629999999999999e-11,2.1600000000000004e-09,14.99157629
117,IL20RB,3.769683192,5.076297727,12.53452383,7.379999999999999e-11,2.38e-09,14.90982874
118,BDNF,2.763827305,3.418866804,12.48743515,7.88e-11,2.52e-09,14.995562699999997
119,PIDD1,1.604404277,4.315715994,12.47437061,8.029999999999998e-11,2.54e-09,14.887476600000001
120,AP1AR,1.419052026,4.963029177,12.44831044,8.329999999999999e-11,2.6e-09,14.79333939
121,BTRC,1.0676319509999999,4.07860643,12.38612721,9.100000000000001e-11,2.8000000000000003e-09,14.78307377
122,CES2,1.02513875,6.139311647,12.37725097,9.22e-11,2.8199999999999998e-09,14.62396124
123,EPHA4,1.9606709869999999,4.540676253,12.36276131,9.41e-11,2.87e-09,14.70485987
124,MGAM,4.773714185,-1.02664782,12.34346594,9.67e-11,2.9399999999999998e-09,13.05233615
125,BTBD6,1.025326711,6.207102331000001,12.33502162,9.79e-11,2.97e-09,14.55965535
126,SERPINB8,1.297542568,5.944308888999999,12.33398464,9.8e-11,2.97e-09,14.56914905
